"Date","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive","y"
"2009-10-27",17,8,10,19,7,12,3,17,29,25,1
"2009-10-28",16,11,10,19,8,14,4,20,30,23,0
"2009-10-29",13,8,4,19,2,13,4,14,31,21,1
"2009-10-30",8,12,6,15,6,8,11,17,22,17,0
"2009-11-02",15,9,5,17,4,9,2,12,28,24,1
"2009-11-03",15,7,9,29,7,20,4,14,38,24,0
"2009-11-04",6,14,4,13,9,6,4,20,14,30,1
"2009-11-05",22,6,10,19,5,9,7,14,26,16,1
"2009-11-06",11,12,5,16,8,12,6,19,26,30,1
"2009-11-09",15,14,7,14,11,9,8,15,23,24,1
"2009-11-10",14,10,7,16,7,7,6,17,25,29,1
"2009-11-11",15,13,8,24,7,9,3,16,31,26,1
"2009-11-12",15,7,6,24,5,14,5,12,23,16,0
"2009-11-13",15,15,4,24,8,11,8,26,26,35,1
"2009-11-16",13,11,8,19,6,9,6,16,22,15,1
"2009-11-17",13,10,7,15,9,9,5,18,25,26,1
"2009-11-18",10,13,7,15,8,10,4,20,17,19,0
"2009-11-19",13,9,8,19,4,14,1,13,20,18,0
"2009-11-20",13,8,4,21,4,10,0,14,20,20,0
"2009-11-23",19,11,10,24,1,18,6,11,33,12,1
"2009-11-24",15,9,6,17,9,15,2,18,31,15,0
"2009-11-25",8,9,5,11,9,10,7,13,13,21,1
"2009-11-27",17,15,7,19,9,8,7,15,21,19,0
"2009-11-30",21,8,7,24,4,16,4,19,30,20,1
"2009-12-01",14,17,5,21,8,13,10,18,31,22,1
"2009-12-02",18,8,11,22,5,17,4,18,37,13,0
"2009-12-03",7,10,1,14,8,11,3,14,23,16,0
"2009-12-04",10,8,5,13,3,8,6,8,20,12,1
"2009-12-07",8,8,6,15,4,9,4,12,15,14,1
"2009-12-08",6,9,3,11,2,7,5,13,12,13,0
"2009-12-09",8,8,1,16,5,6,4,15,15,22,1
"2009-12-10",19,8,10,23,4,10,2,11,27,16,1
"2009-12-11",8,7,5,16,4,4,3,18,15,27,1
"2009-12-14",12,12,6,21,6,12,7,16,30,26,1
"2009-12-15",9,10,4,15,4,12,3,21,20,24,0
"2009-12-16",15,5,8,13,5,9,4,15,28,16,0
"2009-12-17",15,6,8,20,5,11,4,13,26,17,0
"2009-12-18",12,8,5,16,11,11,5,14,22,25,1
"2009-12-21",11,13,5,18,8,10,5,15,17,19,1
"2009-12-22",20,13,4,21,9,15,5,20,29,23,1
"2009-12-23",16,11,6,20,6,10,4,15,22,23,1
"2009-12-24",17,11,7,13,6,10,7,10,19,24,1
"2009-12-28",13,16,4,20,7,9,5,19,20,36,1
"2009-12-29",9,4,2,14,2,7,5,8,13,10,0
"2009-12-30",20,15,10,22,10,11,4,18,29,19,1
"2009-12-31",15,11,7,19,4,11,9,14,26,16,0
"2010-01-04",10,7,6,15,5,9,5,11,22,19,1
"2010-01-05",7,4,8,13,1,6,3,10,21,9,0
"2010-01-06",14,13,6,23,10,13,7,20,24,27,1
"2010-01-07",12,12,6,22,11,12,7,16,24,19,1
"2010-01-08",19,15,7,21,4,15,5,16,34,38,1
"2010-01-11",10,7,5,15,3,10,0,18,22,25,1
"2010-01-12",16,9,7,23,6,17,9,16,28,19,0
"2010-01-13",16,11,10,21,9,11,5,15,26,27,1
"2010-01-14",16,12,6,19,9,13,9,18,27,25,1
"2010-01-15",11,14,3,14,7,12,3,13,20,16,0
"2010-01-19",10,9,4,19,5,8,5,9,22,16,1
"2010-01-20",8,9,5,17,5,11,7,9,20,17,0
"2010-01-21",16,12,5,21,7,11,5,18,29,28,0
"2010-01-22",16,19,9,21,10,17,5,26,33,33,0
"2010-01-25",11,9,4,20,6,11,5,18,27,24,1
"2010-01-26",14,12,7,20,8,12,7,14,27,15,0
"2010-01-27",11,7,6,16,1,9,2,8,23,16,1
"2010-01-28",15,8,7,23,6,11,3,15,25,25,0
"2010-01-29",8,11,4,13,6,5,3,11,20,13,0
"2010-02-01",12,7,6,15,4,8,2,15,22,22,1
"2010-02-02",7,14,1,16,12,11,6,19,23,26,1
"2010-02-03",16,7,4,19,6,14,4,16,21,15,0
"2010-02-04",13,11,9,21,5,15,3,11,25,20,0
"2010-02-05",9,13,7,18,7,11,7,14,25,24,1
"2010-02-08",16,10,8,25,8,19,8,15,30,22,0
"2010-02-09",13,14,8,18,6,13,5,12,29,16,1
"2010-02-10",12,9,7,18,7,12,7,18,28,18,0
"2010-02-11",16,4,7,16,5,12,5,19,26,21,1
"2010-02-12",13,10,7,15,6,8,6,11,18,17,0
"2010-02-16",15,7,6,17,2,8,5,9,21,14,1
"2010-02-17",13,7,4,21,2,13,3,11,25,13,1
"2010-02-18",13,10,5,12,6,4,5,15,23,16,1
"2010-02-19",14,11,7,21,5,14,5,9,25,13,1
"2010-02-22",14,4,4,18,6,12,6,16,24,17,0
"2010-02-23",19,9,5,24,5,14,4,15,30,18,0
"2010-02-24",20,7,10,26,4,18,3,11,34,18,1
"2010-02-25",9,6,2,9,3,6,2,11,14,13,0
"2010-02-26",7,10,2,10,5,6,6,11,10,18,1
"2010-03-01",18,13,14,25,7,21,3,17,32,22,1
"2010-03-02",8,9,7,9,7,7,3,12,13,16,1
"2010-03-03",10,13,6,16,9,10,4,15,19,17,0
"2010-03-04",16,7,8,16,6,11,5,13,22,19,1
"2010-03-05",13,9,5,17,4,12,4,11,19,15,1
"2010-03-08",10,13,6,18,7,11,5,11,24,16,0
"2010-03-09",12,10,8,18,8,16,3,18,23,22,1
"2010-03-10",16,16,10,17,8,14,6,17,23,23,1
"2010-03-11",11,7,3,11,5,9,3,12,19,20,1
"2010-03-12",12,14,7,14,6,12,2,12,17,17,1
"2010-03-15",14,13,5,14,6,10,6,15,19,21,1
"2010-03-16",16,7,7,17,4,14,4,16,28,20,1
"2010-03-17",15,9,8,17,6,12,3,17,25,17,1
"2010-03-18",12,10,8,17,6,7,4,15,23,20,1
"2010-03-19",15,14,8,19,8,10,5,18,28,26,0
"2010-03-22",13,4,4,19,4,11,1,8,30,23,1
"2010-03-23",12,8,8,17,6,9,7,11,24,21,1
"2010-03-24",12,13,3,25,6,11,6,10,26,20,0
